 Time   CH2I2                    CH2BrI                   CH2ClI                   C2H5I                    NH3                      CH3SO3H                  H2SO4                    SO3                      DMSO2                    NO2                      HOSO2                    Cl2O2                    O1D                      HO2                      IBr                      C3H7I                    HIO3                     PAN                      HONO                     CH3SO                    SO2                      ICl                      BrNO2                    ClNO2                    HOBr                     C2H6                     HOI                      HOCH2O2                  CH3I                     INO2                     HNO4                     H2O2                     HCOOH                    HBr                      I                        BrNO3                    Br2                      CH3SO2H                  Cl2                      BrCl                     CH3S                     HCl                      HOCl                     CO                       CH3SO3                   N2O5                     EO2                      CH3SCH2OO                C2H5O2                   CH3CO3                   HNO3                     CH3SOCH3                 I2                       HI                       C2H4                     OIO                      ALD                      ROOH                     OClO                     ClNO3                    INO3                     CH3SO2                   HCHO                     CH3SCH3                  CH3OO                    O3                       BrO                      NO                       IO                       ClO                      Cl                       Br                       NO3                      OH                       
    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.500000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.200000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+02    0.000000E+00    0.000000E+00    0.900000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.500000E+03    0.000000E+00    0.000000E+00    0.200000E+01    0.000000E+00    0.000000E+00    0.600000E+03    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.100000E+03    0.000000E+00    0.700000E+05    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.500000E+01    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.300000E+03    0.600000E+02    0.000000E+00    0.200000E+05    0.000000E+00    0.100000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    0.360000E+04    0.423529E-01    0.282353E-01    0.282353E-01    0.000000E+00    0.500000E+02    0.445906E-04    0.321420E-03    0.501806E-12    0.484656E-08    0.307760E+02    0.227226E-14    0.000000E+00    0.000000E+00    0.513237E-01    0.805293E-02    0.101411E+01    0.517292E-12    0.985949E+01    0.815000E-02    0.214909E-03    0.217995E+02    0.188841E-02    0.152689E-01    0.312397E-01    0.122679E-03    0.499999E+03    0.944318E-03    0.518252E-01    0.200847E+01    0.632342E-08    0.319940E-02    0.583938E+03    0.137569E-02    0.103002E-04    0.349293E-05    0.420164E-10    0.139147E+00    0.413895E-06    0.186564E-03    0.821691E-02    0.249628E-04    0.115622E+02    0.819379E-04    0.700000E+05    0.333571E-02    0.229423E-02    0.000000E+00    0.350448E+00    0.645679E-03    0.119125E+00    0.510073E-01    0.171424E-02    0.561436E+00    0.700595E-10    0.000000E+00    0.406504E-07    0.129618E-04    0.746245E-02    0.299346E-10    0.425840E-06    0.196017E-03    0.504655E-04    0.278843E+03    0.620932E+02    0.153986E+00    0.207464E+05    0.324366E-09    0.698562E-01    0.545322E-03    0.200579E-06    0.173837E-08    0.229752E-11    0.751060E-01    0.886415E-04
    0.720000E+04    0.847059E-01    0.564706E-01    0.564706E-01    0.000000E+00    0.500000E+02    0.117977E-03    0.759650E-03    0.521069E-12    0.138023E-07    0.313563E+02    0.235949E-14    0.000000E+00    0.000000E+00    0.530239E-01    0.249262E-01    0.102822E+01    0.256543E-11    0.984755E+01    0.184697E-01    0.392087E-03    0.212885E+02    0.353671E-02    0.331998E-01    0.667064E-01    0.311800E-03    0.499998E+03    0.234145E-02    0.119326E+00    0.201694E+01    0.128396E-07    0.334145E-02    0.573282E+03    0.655223E-02    0.109659E-04    0.696078E-05    0.755489E-10    0.310123E+00    0.246409E-05    0.393444E-03    0.178685E-01    0.454910E-04    0.952687E+01    0.763690E-04    0.699999E+05    0.776785E-02    0.241784E-02    0.000000E+00    0.490223E+00    0.149967E-02    0.116765E+00    0.514894E-01    0.424281E-02    0.111579E+01    0.144971E-09    0.000000E+00    0.186281E-06    0.659351E-04    0.252704E-01    0.130194E-09    0.378507E-06    0.417238E-03    0.950416E-04    0.274176E+03    0.643718E+02    0.576828E+00    0.215108E+05    0.568288E-09    0.666501E-01    0.115813E-02    0.175206E-06    0.149234E-08    0.384645E-11    0.777776E-01    0.942535E-04
    0.108000E+05    0.127059E+00    0.847059E-01    0.847059E-01    0.000000E+00    0.500000E+02    0.153594E-03    0.935203E-03    0.547365E-12    0.250414E-07    0.318455E+02    0.247856E-14    0.000000E+00    0.000000E+00    0.553557E-01    0.548258E-01    0.104232E+01    0.659609E-11    0.983540E+01    0.310431E-01    0.439633E-03    0.208651E+02    0.605208E-02    0.521126E-01    0.103824E+00    0.592674E-03    0.499997E+03    0.460175E-02    0.184514E+00    0.202541E+01    0.194724E-07    0.350764E-02    0.562808E+03    0.153869E-01    0.111085E-04    0.103943E-04    0.962761E-10    0.481299E+00    0.660507E-05    0.604074E-03    0.275808E-01    0.509907E-04    0.763877E+01    0.661951E-04    0.699999E+05    0.953913E-02    0.252804E-02    0.000000E+00    0.529969E+00    0.234143E-02    0.114809E+00    0.520065E-01    0.704334E-02    0.166271E+01    0.226428E-09    0.000000E+00    0.444366E-06    0.156547E-03    0.566868E-01    0.280583E-09    0.329875E-06    0.648594E-03    0.109678E-03    0.269770E+03    0.666135E+02    0.107346E+01    0.222361E+05    0.711200E-09    0.637564E-01    0.178405E-02    0.150341E-06    0.125835E-08    0.475985E-11    0.800861E-01    0.101019E-03
    0.144000E+05    0.169412E+00    0.112941E+00    0.112941E+00    0.000000E+00    0.500000E+02    0.176398E-03    0.103689E-02    0.566656E-12    0.385198E-07    0.322489E+02    0.256591E-14    0.000000E+00    0.000000E+00    0.571265E-01    0.982912E-01    0.105643E+01    0.128852E-10    0.982299E+01    0.464694E-01    0.458522E-03    0.204340E+02    0.896953E-02    0.718501E-01    0.142423E+00    0.102183E-02    0.499996E+03    0.829094E-02    0.247682E+00    0.203388E+01    0.260875E-07    0.362160E-02    0.552511E+03    0.275982E-01    0.105740E-04    0.137511E-04    0.103028E-09    0.647727E+00    0.133084E-04    0.812349E-03    0.370838E-01    0.531700E-04    0.591557E+01    0.549197E-04    0.699999E+05    0.105728E-01    0.262406E-02    0.000000E+00    0.550846E+00    0.317444E-02    0.113213E+00    0.525482E-01    0.101326E-01    0.220187E+01    0.309578E-09    0.000000E+00    0.818422E-06    0.281374E-03    0.102763E+00    0.461143E-09    0.273693E-06    0.886908E-03    0.117439E-03    0.265555E+03    0.688196E+02    0.153254E+01    0.229242E+05    0.749938E-09    0.612440E-01    0.241782E-02    0.123092E-06    0.101200E-08    0.497592E-11    0.820850E-01    0.106786E-03
    0.180000E+05    0.174574E+00    0.137731E+00    0.140665E+00    0.000000E+00    0.500000E+02    0.291723E-02    0.127369E-02    0.595572E-10    0.109556E-03    0.276591E+02    0.269685E-12    0.000000E+00    0.289570E-10    0.116157E+01    0.195543E+01    0.106850E+01    0.261035E-03    0.977134E+01    0.121546E+00    0.666770E-03    0.199907E+02    0.385798E+00    0.110507E+00    0.175436E+00    0.214297E+00    0.499965E+03    0.206266E+01    0.508863E+00    0.204201E+01    0.457094E-04    0.596797E-01    0.542565E+03    0.956505E-01    0.350059E-01    0.280967E-01    0.150301E+00    0.116867E+01    0.358783E-02    0.282072E-02    0.592507E+00    0.772159E-04    0.335578E+01    0.376540E-01    0.699996E+05    0.990441E-02    0.909657E-03    0.000000E+00    0.496185E+00    0.299908E-01    0.111132E+00    0.464237E+00    0.577739E+00    0.109168E+00    0.121877E-04    0.000000E+00    0.168380E+00    0.199846E-02    0.435582E+00    0.372357E-03    0.105871E-01    0.126550E+00    0.174337E-03    0.260811E+03    0.704409E+02    0.280267E+01    0.235616E+05    0.139528E+01    0.773292E+00    0.728489E+00    0.605042E-02    0.446761E-04    0.229753E-01    0.321727E-01    0.114724E-01
    0.216000E+05    0.839075E-02    0.990205E-01    0.156445E+00    0.000000E+00    0.500000E+02    0.239971E-01    0.368002E-02    0.440688E-10    0.789757E-01    0.325616E+00    0.199551E-12    0.000000E+00    0.205554E-09    0.181840E+01    0.175879E+00    0.103819E+01    0.973548E-02    0.892218E+01    0.176198E+00    0.160576E-02    0.215190E+01    0.659777E-01    0.123183E+00    0.150562E+00    0.126810E+02    0.498289E+03    0.550393E+01    0.192325E+01    0.204305E+01    0.123089E-05    0.112479E-02    0.534469E+03    0.832762E+00    0.302050E+01    0.642530E-01    0.495884E-01    0.558196E+01    0.508316E+01    0.835071E+00    0.450906E+01    0.184417E-03    0.152362E+01    0.487636E+00    0.700085E+05    0.366299E-01    0.624394E-06    0.000000E+00    0.105248E+01    0.116169E+01    0.407393E+00    0.196887E+00    0.335686E+02    0.365419E-02    0.449644E-04    0.000000E+00    0.853145E+00    0.667718E-01    0.498428E+01    0.453487E+00    0.317726E-01    0.488089E-03    0.103405E-02    0.259786E+03    0.323306E+02    0.506238E+01    0.235536E+05    0.365875E+02    0.445755E-01    0.238733E+00    0.140091E+01    0.187647E-02    0.118622E+01    0.176256E-02    0.788598E-01
    0.252000E+05    0.259181E-02    0.325581E-01    0.148255E+00    0.000000E+00    0.500000E+02    0.234895E+00    0.151756E-01    0.797963E-10    0.158668E+00    0.720490E-01    0.361331E-12    0.000000E+00    0.402701E-09    0.357171E+01    0.116950E+00    0.932246E+00    0.311814E-01    0.761271E+01    0.758881E-02    0.182956E-02    0.191134E+01    0.556186E-01    0.572012E-02    0.908090E-01    0.217153E+02    0.485797E+03    0.482356E+01    0.403068E+01    0.202957E+01    0.741727E-06    0.459207E-03    0.494130E+03    0.239040E+01    0.623018E+01    0.175111E+00    0.871395E-02    0.295212E+01    0.208464E+02    0.363374E+01    0.761548E+01    0.209773E-03    0.568933E+01    0.506161E+01    0.700508E+05    0.151414E+00    0.188825E-07    0.000000E+00    0.110506E+01    0.566190E+01    0.300856E+00    0.102926E+00    0.260230E+02    0.207030E-02    0.239462E-03    0.000000E+00    0.132078E+01    0.199117E+00    0.263157E+02    0.969565E+00    0.328414E-01    0.168740E-03    0.568414E-02    0.310852E+03    0.663074E+01    0.135707E+02    0.225763E+05    0.323003E+02    0.260335E-01    0.422183E+00    0.664812E+01    0.793335E-02    0.187021E+01    0.259311E-03    0.160765E+00
    0.288000E+05    0.182972E-02    0.118731E-01    0.124460E+00    0.000000E+00    0.500000E+02    0.236649E+00    0.989488E-02    0.128316E-09    0.698204E-01    0.343712E-01    0.581035E-12    0.000000E+00    0.521823E-09    0.547561E+01    0.137089E+00    0.779436E+00    0.423868E-01    0.648084E+01    0.128144E-02    0.131301E-02    0.234226E+01    0.103175E+00    0.243548E-02    0.402145E-01    0.204519E+02    0.451926E+03    0.351450E+01    0.688496E+01    0.200218E+01    0.538936E-06    0.347575E-03    0.485612E+03    0.743706E+01    0.107670E+02    0.266799E+00    0.358099E-02    0.212881E+01    0.139937E+02    0.870371E+01    0.112774E+02    0.150541E-03    0.141161E+02    0.183050E+02    0.701679E+05    0.930035E-01    0.371880E-08    0.000000E+00    0.905524E+00    0.951134E+01    0.171620E+00    0.976772E-01    0.806982E+01    0.177133E-02    0.560756E-03    0.000000E+00    0.135633E+01    0.588704E+00    0.858646E+02    0.139324E+01    0.340404E-01    0.870032E-04    0.495292E-02    0.390914E+03    0.209174E+01    0.201567E+02    0.211082E+05    0.293924E+02    0.201640E-01    0.478980E+00    0.144353E+02    0.180522E-01    0.249602E+01    0.108505E-03    0.210957E+00
    0.324000E+05    0.157459E-02    0.856376E-02    0.996317E-01    0.000000E+00    0.500000E+02    0.975738E-01    0.343550E-02    0.556141E-10    0.219865E-01    0.304697E-01    0.251830E-12    0.000000E+00    0.555455E-09    0.648132E+01    0.139331E+00    0.624022E+00    0.398106E-01    0.551545E+01    0.100760E-02    0.104045E-02    0.931955E+00    0.921456E-01    0.207839E-02    0.145472E-01    0.196353E+02    0.405827E+03    0.249800E+01    0.924418E+01    0.196625E+01    0.523926E-06    0.371046E-03    0.490445E+03    0.173718E+02    0.141782E+02    0.292635E+00    0.290152E-02    0.191748E+01    0.509388E+01    0.851470E+01    0.109784E+02    0.119311E-03    0.173209E+02    0.422952E+02    0.703756E+05    0.315941E-01    0.266094E-08    0.000000E+00    0.773466E+00    0.885921E+01    0.135816E+00    0.945297E-01    0.235579E+01    0.160674E-02    0.732280E-03    0.000000E+00    0.116432E+01    0.866333E+00    0.164831E+03    0.123266E+01    0.326882E-01    0.688295E-04    0.208521E-02    0.439212E+03    0.141659E+01    0.224566E+02    0.194784E+05    0.276677E+02    0.203256E-01    0.438327E+00    0.156377E+02    0.207880E-01    0.284272E+01    0.882376E-04    0.229794E+00
