 Time    DRAD001001  DRAD001002  WRAD001001  WRAD001002  NP001001    NP001002    Temp   relhum 
    0.000000E+00    0.969944E-07    0.223179E-05    0.176577E-06    0.513030E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.360000E+04    0.943459E-07    0.223167E-05    0.178589E-06    0.513310E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.720000E+04    0.942758E-07    0.223164E-05    0.178773E-06    0.513307E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.108000E+05    0.942678E-07    0.223162E-05    0.178802E-06    0.513305E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.144000E+05    0.942665E-07    0.223159E-05    0.178805E-06    0.513304E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.180000E+05    0.942658E-07    0.223155E-05    0.178806E-06    0.513305E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.216000E+05    0.942745E-07    0.223132E-05    0.178811E-06    0.513339E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.252000E+05    0.943456E-07    0.223137E-05    0.178862E-06    0.513321E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.288000E+05    0.944779E-07    0.223151E-05    0.178948E-06    0.513284E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.324000E+05    0.945787E-07    0.223160E-05    0.178982E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.360000E+05    0.946540E-07    0.223163E-05    0.179007E-06    0.513252E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.396000E+05    0.947123E-07    0.223165E-05    0.179026E-06    0.513250E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.432000E+05    0.947610E-07    0.223166E-05    0.179042E-06    0.513251E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.468000E+05    0.948039E-07    0.223167E-05    0.179057E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.504000E+05    0.948434E-07    0.223168E-05    0.179070E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.540000E+05    0.948799E-07    0.223169E-05    0.179082E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.576000E+05    0.949122E-07    0.223169E-05    0.179093E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.612000E+05    0.949373E-07    0.223168E-05    0.179099E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.648000E+05    0.949507E-07    0.223165E-05    0.179102E-06    0.513252E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.684000E+05    0.949516E-07    0.223164E-05    0.179101E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.720000E+05    0.949480E-07    0.223163E-05    0.179100E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.756000E+05    0.949444E-07    0.223162E-05    0.179098E-06    0.513267E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.792000E+05    0.949408E-07    0.223161E-05    0.179095E-06    0.513272E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.828000E+05    0.949368E-07    0.223159E-05    0.179093E-06    0.513277E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
